Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
D,1055,2921,3186,3074,3025,2923,3114,2970,3235,2751,2953,5,"560,590 Read#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1088,2828,3193,3149,3149,3082,3034,2771,2692,2751,2894,5,"560,590 Read#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,46.66904755831214,3097,3027,2708,2758,2812,2789,2649,2757,2660,2400,0,"560,590 Read#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,4.289434518227218,2578,2481,2770,2567,2746,2670,2478,2630,2642,2431,3,"560,590 Read#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,,2956,3031.3333333333335,3006.1666666666665,2942,2931.5,2952.1666666666665,2822.6666666666665,2939.8333333333335,2782,2669.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stdev,,231.87237869138275,288.2378647344354,211.04920437345095,236.067786874872,155.6582795742006,181.9411076878083,250.54154678748728,276.7145942422746,134.42618792482364,294.55333416321514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,,7.844126478057603,9.508616606590127,7.020542364255173,8.02405801750075,5.30985091503328,6.162968701670242,8.876058577733371,9.412594622448253,4.8319981281388795,11.034026378093843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blank sub,,1868,1943.3333333333335,1918.1666666666665,1854,1843.5,1864.1666666666665,1734.6666666666665,1851.8333333333335,1694,1581.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%control,,100,104.03283369022127,102.68558172733762,99.25053533190578,98.68843683083512,99.79478943611704,92.86224125624553,99.13454675231978,90.68522483940042,84.6627408993576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15min,blank,0,10uM,25uM,50uM,75uM,100uM,0,0,0,0.001,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,974,5535,5890,5346,5794,6008,5654,5045,5654,5226,3810,0,"560,590 Read#2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1286,5399,5453,5559,5460,5603,5500,5602,5437,5338,4308,0,"560,590 Read#2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,1158,5106,5618,5448,5804,5200,5939,5375,5649,5105,3211,1,"560,590 Read#2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1139.3333333333333,4949,5328,5387,5656,5400,5364,4977,4800,4871,3039,16,"560,590 Read#2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,156.83537016034762,5325,5374,5003,5040,5254,5238,4550,5059,4831,2599,5,"560,590 Read#2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,13.765538633149294,4485,4654,4978,4698,5188,5038,4664,4923,4671,2691,0,"560,590 Read#2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,,5133.166666666667,5386.166666666667,5286.833333333333,5408.666666666667,5442.166666666667,5455.5,5035.5,5253.666666666667,5007,3276.3333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stdev,,380.45047859960255,412.7131772389472,240.63367733271807,449.3420375022425,318.26555997573263,317.8488634555738,403.340426934866,375.0240881152392,256.70761578106715,665.0003508771008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,,7.411613596537599,7.6624657716795594,4.551565410914878,8.307815311886648,5.848140629817768,5.826209576676268,8.009937979046093,7.138330463458647,5.126974551249593,20.297090778627556,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blank sub,,3993.833333333334,4246.833333333334,4147.5,4269.333333333334,4302.833333333334,4316.166666666667,3896.166666666667,4114.333333333334,3867.666666666667,2137,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%control,,100,106.334766097734,103.8475983808371,106.89813462421232,107.73692776363559,108.07077577932644,97.55456328506446,103.01715144180612,96.84096315152526,53.507490714852054,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30min,blank,0,10uM,25uM,50uM,75uM,100uM,0,0,0,0.001,12,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,1128,8791,9222,8130,9031,9242,8961,7712,8394,7745,3862,0,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1430,8030,8186,8108,8448,8079,8501,8396,7951,8014,4293,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,1210,7220,8621,8176,9027,7752,8959,7610,8182,7390,3282,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1256,7061,7682,7836,8953,8481,7968,7311,7194,7196,3048,0,"560,590 Read#4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,156.16657773031974,7710,7853,7862,8080,8345,8264,7083,7824,7292,2610,5,"560,590 Read#4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,12.433644723751572,6659,7341,7772,7122,7957,7718,7251,7306,6780,2640,0,"560,590 Read#4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,,7578.5,8150.833333333333,7980.666666666667,8443.5,8309.333333333334,8395.166666666666,7560.5,7808.5,7402.833333333333,3289.1666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stdev,,765.9124623610717,683.232146979829,176.19383265786198,751.4963073761573,526.9575567981416,511.3720432978974,471.0646452452147,476.02006260240756,432.1464643690454,674.7913504681778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,,10.106385991437246,8.382359435393056,2.2077583241733603,8.900293804419462,6.341754935792782,6.091267316089386,6.230601749159641,6.096178044469585,5.837581975852202,20.51557184093776,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blank sub,,6322.5,6894.833333333333,6724.666666666667,7187.5,7053.333333333334,7139.166666666666,6304.5,6552.5,6146.833333333333,2033.1666666666665,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%control,,100,109.05232634770002,106.36088045340715,113.6812969553183,111.55924607881904,112.91683142216948,99.7153024911032,103.63780150257018,97.22156320021088,32.15763806511137,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"560,590 Read#4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45min,blank,0,10uM,25uM,50uM,75uM,100uM,0,0,0,0.001,12,"560,590 Read#4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,1178,11657,11923,11043,11604,11882,11112,9914,10447,9808,3938,10,"560,590 Read#4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1460,10454,10783,10600,11435,11441,10908,10826,10322,10737,4405,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,1210,9610,11111,10938,11776,10197,11378,10132,10456,9564,3302,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1282.6666666666667,9369,9951,10335,11452,11620,9752,9600,9180,9513,3117,5,"560,590 Read#5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,154.40639019591558,10314,10726,11061,10617,11205,11383,9518,10290,9754,2640,5,"560,590 Read#5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,12.0379202335693,9367,9968,10767,9940,10992,10289,9245,9220,8945,2726,7,"560,590 Read#5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,,10128.5,10743.666666666666,10790.666666666666,11137.333333333334,11222.833333333334,10803.666666666666,9872.5,9985.833333333334,9720.166666666666,3354.6666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stdev,,883.4293972921662,742.6438356753973,283.9032699118956,709.5981022146739,590.8933631939578,654.5724304205507,560.6973336836907,612.392820554476,584.9784326508685,694.0759804709177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,,8.722213529073072,6.912387164612305,2.6310076910159608,6.371346542092726,5.265099691349105,6.058798837621956,5.679385501987245,6.132616078322383,6.018193439593305,20.689864282718133,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blank sub,,8845.833333333334,9461,9508,9854.666666666668,9940.166666666668,9521,8589.833333333334,8703.166666666668,8437.5,2072,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%control,,100,106.95430993876589,107.485633537447,111.40461610927932,112.3711728685822,107.63259538389072,97.10598210080076,98.38718794159209,95.38389072067828,23.4234573716439,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4mM,,"560,590 Read#5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60min,blank,0,10uM,25uM,50uM,75uM,100uM,0,0,0,0.001,12,"560,590 Read#5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,1227,13536,13876,13265,13703,13788,12902,11320,11725,11318,3929,0,"560,590 Read#5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1473,12429,12909,12742,13301,12621,12485,12640,12044,12436,4443,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,1220,11900,12841,12993,14375,12233,12968,12363,12518,11260,3316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1306.6666666666667,11289,11540,12239,13563,12809,11355,11779,11003,11360,3176,0,"560,590 Read#6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,144.09140617446042,12369,12725,12786,13076,13094,13974,11402,12174,11757,2680,20,"560,590 Read#6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,11.027403533759724,11289,11809,12930,12032,13288,12365,10670,10510,10320,2758,0,"560,590 Read#6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,,12135.333333333334,12616.666666666666,12825.833333333334,13341.666666666666,12972.166666666666,12674.833333333334,11695.666666666666,11662.333333333334,11408.5,3383.6666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stdev,,847.4254342811919,842.0186854617104,341.9505324848415,779.0747503716614,543.4127038142067,860.1603145150715,724.3481667448787,762.385379363132,692.0455909837154,686.1319600970834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,,6.983124492785738,6.673860122549885,2.666107718678512,5.839410995915014,4.189066620694615,6.78636390628467,6.193303788396375,6.537159911079532,6.066052425680111,20.277764558085412,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blank sub,,10828.666666666668,11310,11519.166666666668,12035,11665.5,11368.166666666668,10389,10355.666666666668,10101.833333333334,2077,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%control,,100,104.44499168872746,106.37659299390508,111.14018346364587,107.7279443452564,104.98214615526689,95.93978944776211,95.63196453857046,93.28787785507603,19.180570091731823,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"560,590 Read#6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75min,blank,0,10uM,25uM,50uM,75uM,100uM,0,0,0,0.001,12,"560,590 Read#6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,1234,14756,15192,14534,14549,14629,13926,12312,12582,11943,3932,0,"560,590 Read#6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1508,13444,13738,13747,14213,13881,13907,13779,12348,13118,4441,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,1243,12651,13760,14353,14659,13661,13758,13508,13343,11999,3369,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1328.3333333333333,12282,12218,13473,15506,14582,11982,12697,12034,12363,3208,0,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,155.66095635493613,13206,13437,15024,13597,14963,15049,12558,12853,12639,2737,8,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,11.718516162228568,12422,13362,14293,13677,14286,13198,10979,11149,11099,2817,12,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,,13126.833333333334,13617.833333333334,14237.333333333334,14366.833333333334,14333.666666666666,13636.666666666666,12638.833333333334,12384.833333333334,12193.5,3417.3333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stdev,,916.2965495224057,956.06870394688,556.4108793568532,708.2972304524892,490.8383304782407,1009.6089672079318,992.6948003624613,752.0455881571719,689.9871737938322,660.6338370585219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,,6.980332013476764,7.020710861592372,3.90811162687432,4.930085941827746,3.424373831852102,7.403634567645552,7.854323054837296,6.072310929958728,5.658647425216977,19.33185243050688,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blank sub,,11798.5,12289.5,12909,13038.5,13005.333333333332,12308.333333333332,11310.5,11056.5,10865.166666666666,2089,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%control,,100,104.1615459592321,109.41221341695979,110.50981056914016,110.22870138859457,104.32117077029565,95.86388100182226,93.7110649658855,92.08938989419558,17.705640547527228,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90min,blank,0,10uM,25uM,50uM,75uM,100uM,0,0,0,0.001,12,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,1278,14852,15638,15148,14814,14589,14205,12673,12636,11990,3980,8,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1531,13898,13735,13624,13672,13413,13383,13552,12545,13082,4417,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,1261,12723,13688,14489,14324,13010,13564,12943,13253,12135,3381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1356.6666666666667,12841,12396,12754,13958,13517,11581,12498,12040,12778,3231,16,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,151.21618079204796,13654,14002,14317,13558,14182,15168,12662,13283,13002,2775,9,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,11.146155832337687,13124,13770,14612,13973,14743,13721,11551,11503,11365,2846,8,"560,590 Read#7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,,13515.333333333334,13871.5,14157.333333333334,14049.833333333334,13909,13603.666666666666,12646.5,12543.333333333334,12392,3438.3333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stdev,,798.4985076170567,1037.0399703000844,845.8637400117507,460.0245283315518,698.6223586459282,1180.1656945813443,652.8334397072502,692.0926720220831,675.2152249468313,646.2716663034715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,,5.908093333130691,7.476047798003709,5.974739169418092,3.2742347714555455,5.022807956329918,8.67534998834636,5.162166921339898,5.517613648860614,5.448799426620653,18.796073668544977,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blank sub,,12158.666666666668,12514.833333333334,12800.666666666668,12693.166666666668,12552.333333333334,12247,11289.833333333334,11186.666666666668,11035.333333333334,2081.666666666667,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%control,,100,102.92932339072267,105.28018423072704,104.3960412325913,103.23774536681654,100.72650509924333,92.85420550498958,92.00570237964689,90.76104836056584,17.12084658405527,,"560,590 Read#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
